category,word
easy,cat
easy,sun
easy,map
easy,book
easy,star
easy,moon
easy,tree
easy,rain
easy,bird
easy,shoe
easy,gold
easy,king
medium,planet
medium,chair
medium,garden
medium,school
medium,bottle
medium,apple
medium,river
medium,desert
medium,cloud
medium,stone
medium,tiger
medium,zebra
medium,orange
medium,flower
medium,castle
medium,bridge
medium,forest
medium,silver
hard,triangle
hard,computer
hard,hospital
hard,mountain
hard,elephant
hard,rainbow
hard,lantern
hard,dolphin
hard,library
hard,village
hard,chocolate
hard,spacecraft
hard,waterfall
hard,adventure
hard,microscope
hard,orchestra
hard,symphony
hard,dinosaur
